file,label
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003888.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002453.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004395.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003006.jpg,Soda Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001017.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001241.jpg,Soda Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001905.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002405.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002710.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000700.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000698.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000917.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000460.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004383.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003757.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004929.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003105.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001125.jpg,Wine Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003699.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001510.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001700.jpg,Large Beer Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002244.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002673.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004460.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000146.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002017.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000531.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002937.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002979.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004604.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003377.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002059.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003956.jpg,Large Soda Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001588.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004379.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001056.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003217.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004584.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004672.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001690.jpg,Beer Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004544.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002097.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003754.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002492.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004439.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003998.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000251.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004969.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001762.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001815.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000296.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001359.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001906.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000524.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002841.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002561.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001808.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000880.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000222.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004730.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001411.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001366.jpg,Soda Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004835.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002055.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000770.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003672.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002899.jpg,Wine Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001216.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002487.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004526.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001796.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001732.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004092.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000148.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003106.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003836.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002851.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000299.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000949.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000267.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004538.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001499.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003601.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002247.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004789.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003750.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003680.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001654.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004874.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000197.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000265.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002263.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003278.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001783.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000618.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004201.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001077.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001837.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002334.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004934.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000776.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003127.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000709.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002105.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001860.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002413.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002578.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003903.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000581.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002712.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004452.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001290.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002746.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003558.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001847.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004581.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004147.jpg,Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003254.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003268.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000427.jpg,Soda Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003666.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000338.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000881.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004142.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001063.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004488.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001155.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004935.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000758.jpg,Wine Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004718.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000547.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000061.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000076.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003602.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003283.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004221.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003937.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000999.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003295.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003801.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002658.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002241.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000549.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001626.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004357.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001026.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000431.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002664.jpg,Soda Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001559.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002482.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002701.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002981.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000609.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003089.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001937.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002825.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003016.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004318.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004063.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002284.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003997.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000822.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000542.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003501.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001424.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004099.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002535.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001850.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003641.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000772.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002880.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004114.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000629.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003547.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002240.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004421.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002626.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004353.jpg,Wine Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000850.jpg,Beer Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001561.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000270.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001079.jpg,Soda Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001274.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001195.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001805.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002845.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000873.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004475.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000311.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000126.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000682.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000395.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002273.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002648.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000410.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000063.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003128.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002877.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000086.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004287.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002665.jpg,Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001466.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004480.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001540.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000741.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004973.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002018.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004479.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000540.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001492.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000663.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002418.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002202.jpg,Beer Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004689.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004015.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004382.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001938.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004028.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004792.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000790.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004902.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000939.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001556.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004893.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001397.jpg,Large Plastic Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00003679.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002627.jpg,Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004562.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002115.jpg,Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000791.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00000041.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002442.jpg,Wine Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001986.jpg,Wine Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004026.jpg,Large Wine Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002770.jpg,Large Water Bottles
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00004266.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002296.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00002926.jpg,Large Water Bottle
/tmp/tmp0id2u9a8/Bottle Images/Bottle Images/Water Bottle/00001358.jpg,Water Bottle
